Animal ID,Other Identifiers,Response Date,Country,State,County,Location,Latitude,Longitude,Vital Status,Species,Sex,AgeClass,Confirmed Entanglement,Entanglement Type,Entanglement Fishery Certainty,Entanglement Fishery Type,Gear Location - Body,Gear Location - Head,Gear Location - Mouth,Gear Location - Left Pec Flipper,Gear Location - Right Pec Flipper,Gear Location - Tailstock,Gear Location - Flukes,Gear Location - Unknown,Gear Material - Buoy,Gear Material - Rope,Gear Material - Trap,Gear Material - Monofilament,Gear Material - Net,Gear Material - Other,Gear Material - Unknown
19820323Er,SBMNH-82-12,3/23/82,USA,California,Ventura,"La Conchita, BEACH SOUTH OF RINCON POINT, VENTURA",,,Dead,Gray Whale,Female,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
19831209Er,LACMNH-CRM-1099,12/9/83,USA,California,Los Angeles,"PORTUGESE BEND CLUB, SOUTH END OF BEACH RANCHO PALOS VERDES",33.73300171,-118.3499985,Dead,Gray Whale,Female,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19840218Er,,2/18/84,USA,California,Los Angeles,"OFFSHORE FROM MARINELAND PIER, RANCHO PALOS VERDES",33.76699829,-119.4000015,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
19840321Er,OCC-DK-84-07,3/21/84,USA,California,Orange,"Huntington Beach, BOLSA CHICA STATE BEACH; 1/2 WAY BETWEEN WARNER AND MAIN",33.70999908,-118.060997,Dead,Gray Whale,Male,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
19840504Er,SBMNH-84-19,5/4/84,USA,California,San Luis Obispo,"PUBLIC BEACH ACCESS AT 825 PACIFIC STREET, CAYUCOS",35.44200134,-120.8960037,Dead,Gray Whale,Male,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
19841227Mn_1,8412040,12/27/84,USA,California,Santa Barbara,"BETWEEN OIL PLATFORMS HILLHOUSE AND HABITAT, SANTA BARBARA CHANNEL",,,Dead,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19841227Mn_2,8412041,12/27/84,USA,California,Santa Barbara,"BETWEEN OIL PLATFORMS HILLHOUSE AND HABITAT, SANTA BARBARA CHANNEL",,,Dead,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19850104Er,,1/4/85,USA,California,Orange,"13 MILES OFFSHORE DANA POINT, DANA POINT",33.33300018,-117.9169998,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
19850110Er,,1/10/85,USA,California,Ventura,20 MILES SOUTHWEST OF SANTA BARBARA ISLAND,,,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19850114Er,SBNHM-85-01,1/14/85,USA,California,Santa Barbara,"1/4 MILE EAST OF PAINTED CAVE, SANTA CRUZ ISLAND, CHANNEL ISLANDS",34.07099915,-119.8570023,Dead,Gray Whale,Female,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
