Regional ID,Field ID,Common Name,Date of Occurance,Date of Examination,State,County,City,Location Details,Latitude,Longitude,Type of Occurance,Initial Condition,Examiner,Initial Disposition,Sex,Age,Length,Length Units,Weight,Weight Units,Stranding Remarks,Material Disposition,Final Disposition Remarks,,
8203005,SBMNH-82-12,GRAY WHALE,3/23/82,3/23/82,CA,VENTURA,,BEACH AREA SOUTH OF RINCON POINT; NORTH OF LA CONCHITA,,,GILLNET-RELATED,ADVANCED DECOMPOSITION,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",LEFT AT SITE,F,SUBADULT,336,IN,,,GILLNET WRAPPED AROUND CAUDAL PEDUNCLE,NO PARTS COLLECTED,LEFT AT SITE,,
8207001,MNH-PMF-357,KILLER WHALE,7/7/82,7/9/82,CA,MONTEREY,PEBBLE BEACH,CYPRESS POINT,3635,12158,UNKNOWN,ADVANCED DECOMPOSITION,"JUD VANDEVERE & ALAN BALDRIDGE, MUSEUM OF NATURAL HISTORY, PACIFIC GROVE",SPECIMEN TO SCIENTIFIC COLLECTION,F,SUBADULT,499.5,CM,,,ALL TEETH WORN & FLAT,"CARCASS EVISCERATED BY SHARKS, LARGEST BITE MEASURING 48 CM ACROSS",MUSEUM OF NATURAL HISTORY,,
8211010,LACMNH-JEH-304,BRYDE'S WHALE,11/29/82,11/30/82,CA,ORANGE,CORONA DEL MAR,"JASMINE AVENUE, CORONA DEL MAR BEACH",333530,1175230,UNKNOWN,ADVANCED DECOMPOSITION,"JOHN HEYNING, DIANA MCINTYRE, LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY, LOS ANGELES",SPECIMEN TO SCIENTIFIC COLLECTION,M,ADULT,1250,CM,,,,"SKULL, MANDIBLES, HYOIDS, & BALEEN TO LOS ANGELES COUNTY MUSEUM OF              NATURAL HISTORY",LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY,,
8301119,,GRAY WHALE,1/22/83,1/22/83,CA,MONTEREY,PACIFIC GROVE,POINT PINOS,,,UNKNOWN,MODERATE DECOMPOSITION,"PAUL FINNEGAN, MUSEUM OF NATURAL HISTORY, PACIFIC GROVE",LEFT AT SITE,U,CALF,150,IN,,,CARCASS BLOATED; POSSIBLE SHARK BITES,,LEFT AT SITE,,
8301033,,GRAY WHALE,1/29/83,,CA,ORANGE,HUNTINGTON BEACH,"1/4 MILE NORTH OF BLUFFS, BOLSA CHICA STATE BEACH",334124,1180254,UNKNOWN,ADVANCED DECOMPOSITION,"JIM LESLIE, ORANGE COAST COLLEGE, COSTA MESA",LEFT AT SITE,U,UNKNOWN,1197,CM,,,,PHOTOS TAKEN,LEFT AT SITE,,
8302026,,UNIDENTIFIED WHALE,2/1/83,,CA,ORANGE,HUNTINGTON BEACH,BETWEEN ORANGE COUNTY SANITATION DISTRICT STATIONS 27N & 33N,334040,1180100,UNKNOWN,ADVANCED DECOMPOSITION,ORANGE COUNTY SANITATION DISTRICT PERSONNEL,LEFT AT SITE,U,UNKNOWN,,,,,,,LEFT AT SITE,,
8304314,CAS-RLD-16,GRAY WHALE,4/1/83,,CA,MARIN,,"3 MILES NORTH OF BOLINAS, 1/4 MILE SOUTH OF DOUBLE POINT, POINT REYES NATIONAL SEASHORE",375635,1224615,UNKNOWN,MODERATE DECOMPOSITION,"RAYMOND DEITER, CALIFORNIA ACADEMY OF SCIENCES, SAN FRANCISCO",SPECIMEN TO SCIENTIFIC COLLECTION,U,UNKNOWN,1045,CM,,,FIRST SIGHTED AS FLOATING CARCASS,PHOTOS TAKEN; BALEEN TO POINT REYES NATIONAL SEASHORE (DOC-4042-F/SWR),POINT REYES NATIONAL SEASHORE,,
8304133,LACMNH-DRM-1092,GRAY WHALE,4/4/83,,CA,LOS ANGELES,TERMINAL ISLAND,"BERTH 208, BENEATH WHARF",334500,1181600,UNKNOWN,MODERATE DECOMPOSITION,"DIANA MCINTYRE, LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY, LOS ANGELES",LEFT AT SITE,M,YEARLING,250,IN,,,YEARLING OR POSSIBLY THIS YEAR'S YOUNG,PHOTOS TAKEN,LEFT AT SITE,,
8304072,NMFS/SWFC-LJH-085,GRAY WHALE,4/8/83,,CA,SAN DIEGO,CORONADO,150 YARDS SOUTH OF SILVER STRAND STATE BEACH ENTRANCE,323730,1170819,UNKNOWN,MODERATE DECOMPOSITION,"LARRY HANSEN, JEANNE WIXLER, NMFS/SWFC, LA JOLLA",LEFT AT SITE,F,UNKNOWN,742,CM,,,ABANDONED PUP,PHOTOS TAKEN,LEFT AT SITE,,
8304098,,UNIDENTIFIED WHALE,4/13/83,,CA,ORANGE,HUNTINGTON BEACH,"BETWEEN ORANGE COUNTY SANITATION DISTRICT STATIONS 33N & 39N, BOLSA CHICA AREA",334130,1180240,UNKNOWN,FRESH DEAD,ORANGE COUNTY SANITATION DISTRICT PERSONNEL,LEFT AT SITE,U,UNKNOWN,240,IN,,,,,LEFT AT SITE,,
8304074,NMFS/SWFC-MSL-292,HUMPBACK WHALE,4/18/83,4/19/83,CA,SAN DIEGO,CORONADO,HOTEL DEL CORONADO,324032,1171023,UNKNOWN,MODERATE DECOMPOSITION,"MARK LOWRY, J WEBSTER, NMFS/SWFC, LA JOLLA",SPECIMEN TO SCIENTIFIC COLLECTION,F,SUBADULT,1015,CM,,,3 SQUARE DARKISH BLOATED PATCH MARKS ON LEFT VENTRAL SIDE,PHOTOS TAKEN; LOWER JAWS; SCAPULA & CERVICAL VERTEBRATE TO SAN DIEGO NATURAL HISTORY MUSEUM (DOC-4412-F/SWR),SAN DIEGO MUSEUM OF NATURAL HISTORY,,
