National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
SW-2006-1058547,NA,"Whale, gray",CA,Santa Barbara,SANTA BARBARA,ONE MILE OFF SHORE OF LEADBETTER BEACH,34.23,decimal degrees,-119.42,decimal degrees,Y,Y,N,N,,N,,,,,,,EXTERNAL EXAMINATION,N,Y,N,Y,,N,,,EXTERNAL EXAMINATION,2/1/06,Swimming,Alive,N,2/1/06,Alive,Y,N,N,N,N,N,N,,,N,N,N,,N,Y,N,N,N,N,N,N,N,N,,,"ANIMAL BREACHED ADJACENT TO 27 FOOT CABIN CRUISER & CRASHED DOWN ON VESSEL'S WINDSHIELD, EMBEDDING PIECES OF SKIN & BARNACLES IN GLASS; ANIMAL SWAM AWAY; FINAL STATUS OF ANIMAL UNKNOWN; NO BLOOD OBSERVED IN WATER",FEMALE,UNKNOWN,360,in,estimate,,,,N,N,N,N,N,,,N,,,N,N,N,N,,NA,,,,
SW-2006-1064545,LACM-DSJ-2194,"Whale, gray",CA,Los Angeles,SAN PEDRO,"CABRILLO BEACH, OUTSIDE BEACH",33.7155394,decimal degrees,",-118.3089075",decimal degrees,Y,Y,N,N,,N,,,,,,,EXTERNAL EXAMINATION,N,N,N,N,,N,,,EXTERNAL EXAMINATION,2/10/06,,Moderate Decomposition,N,2/10/06,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,876,cm,actual,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,"RIGHT SIDE OF BODY WAS PARTIALLY DETACHED JUST BEHIND THE SKULL, OCCPITAL REGION OF SKULL BROKEN",
SW-2006-1056405,MLML-MM-1278,"Whale, gray",CA,Monterey,MOSS LANDING,"MONTEREY DUNES COLONY, 102-130 ENTRANCE THEN 300 YARDS NORTH ON SALINAS RIVER STATE BEACH",36.773,decimal degrees,-121.798889,decimal degrees,CBD,N,N,N,,N,,,,,,,,N,Y,N,Y,,N,,,"RAKE MARKS ON LOWER JAW, VENTRUM, AND FLUKE",3/15/06,Beach or Land,Moderate Decomposition,N,3/15/06,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,YEARLING,880,cm,estimate,,,,Y,N,N,N,N,,,Y,N/A,N/A,N,N,N,N,,Y,,3/16/06,"ALSO NECROPSIED BY: L. HALL, L. WERTZ, C. GIBBLE, K. WILLIAMS. SL WAS ESTIMATED BECAUSE FLUKE WAS NOT LAYING STRAIGHT. RAKE MARKS ON LOWER JAW, VENTRUM, AND UNDERSIDE OF FLUKE. PROBABLE ORCA ATTACK.",
SW-2006-1192046,SWFSC-XXX0052,"Whale, unidentified baleen",CA,San Diego,San Diego,Offshore ~48 miles west of Point Loma and to the southest of San Clemente Island,33.3171438,decimal degrees,-118.8351462,decimal degrees,Y,Y,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,3/22/06,Swimming,Alive,N,3/22/06,Alive,Y,N,N,N,N,N,N,,,N,N,N,,N,Y,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,0,cm,estimate,,,,N,N,N,N,N,,,N,,,N,N,N,N,,N,,,"Collision between U.S. Navy vessel to free swimming whale; final state of whale is unknown. Per Jan Larson Director of Environmental Operations and Planning: On 27 Mar at 1:59pm (PST), the USS PRINCETON was in transit to the Pacific Northwest from Southern CA waters when there was a possible whale strike. The location of the possible whale strike was approximately 48 miles west of Point Loma and to the southeast of San Clemente Island. Visibility was excellent, but no marine mammals were sighted prior to the possible strike. The PRINCETON was underway at 22 kts when a shutter was felt and the aft lookout reported blood and flesh visible in the water. After the ship completed a hard turn, a spout was detected approximately 1500 yards from the location of the possible strike. No other information was available to confirm that a whale strike occurred and no further whale sightings or indications of marine mammal presence (e.g , whale spouts) were observed. The PRINCETON was undamaged and resumed transit to the Pacific Northwest.",
SW-2006-1056383,CWC-CAR-06-0402D,"Whale, gray",CA,Los Angeles,Malibu,24814 Malibu Road,34.01.53,deg/min/sec,118.42.50,deg/min/sec,CBD,N,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,4/4/06,Beach or Land,Advanced Decomposition,N,4/4/06,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,914.4,cm,estimate,25000,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2006-1184966,HSU-VM-2645,"Whale, gray",CA,Humboldt,Orick,"Dry Lagoon State Park, north end of beach near Goats Head.",41.224778,decimal degrees,-124.108372,decimal degrees,N,N,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,4/7/06,,Condition Unknown,N,4/8/06,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,1062,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2006-1192047,SWFSC-XXX0053,"Whale, gray",CA,San Diego,La Jolla,13 nm NW of La Jolla,32.55,decimal degrees,-117.31,decimal degrees,CBD,N,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,4/12/06,Floating,Fresh Dead,N,4/12/06,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,222,in,estimate,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,N,,,13 nm NW of La Jolla reported by USCG. 17-20 feet in length and drifting south,
SW-2006-1056895,SBMNH-2006-02,"Whale, minke",CA,San Luis Obispo,Oceano,Montana De Oro Sandspit,35.2903922,decimal degrees,-120.8966977,decimal degrees,N,N,N,N,,N,,,,,,,,N,N,N,N,,N,,,,4/15/06,Beach or Land,Moderate Decomposition,N,4/18/06,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,550,cm,estimate,,,,Y,N,Y,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2006-1057085,CWC-CAR-06-0422D,"Whale, gray",CA,Los Angeles,Malibu,El Pescador State Beach,34.02.20,deg/min/sec,118.53.33,deg/min/sec,CBD,N,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,4/16/06,Beach or Land,Moderate Decomposition,N,4/16/06,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,944,cm,actual,18000,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2006-1189614,TMMC-C-216,"Whale, gray",CA,San Francisco,San Francisco,San Francisco Bay,37.827,decimal degrees,-122.423,decimal degrees,Y,Y,N,Y,,Y,", Hit by boat",,,,,,,N,N,N,N,,Y,,,,4/20/06,Floating,Fresh Dead,N,4/20/06,Fresh Dead,N,N,N,N,N,N,N,4/20/06,The Marine Mammal Center,N,N,N,,N,N,N,N,Y,N,N,N,N,N,,,,FEMALE,ADULT,1400,cm,actual,,kg,estimate,Y,N,N,N,N,,,N,,,N,Y,N,N,,N,,,"Fresh dead carcass, propeller wounds, orca rake mark scars. Towed to Richardson Bay & anchored to eliminate vessel hazard, then towed to Blacksand Beach in Marin Headlands for necropsy. Too unsafe for complete necropsy, animal not on beach on morning of 4/21.",
