National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
NW-1974-1153765,UPS-25766,"Whale, gray",OR,Lincoln,Waldport,Unknown,44.42029,decimal degrees,-124.07866,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,5/2/74,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,5/2/74,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1976-1153994,MM 76-2,"Whale, gray",OR,Tillamook,Cape Meares,Unknown,45.492698,decimal degrees,-123.970119,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,3/6/76,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,3/6/76,,,,,,,,,,,,,,,Y,,,,MALE,UNKNOWN,1330,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1977-1153768,MM-73,"Whale, gray",OR,Tillamook,Neskowin,Unknown,45.114176,decimal degrees,-123.983374,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,2/17/77,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,2/17/77,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1978-1153996,MM 78-3,"Whale, gray",OR,Clatsop,Astoria,Unknown,46.195916,decimal degrees,-123.802905,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,3/3/78,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,3/3/78,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,866,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1979-1153989,OIMB-C-017,"Whale, sperm",OR,Douglas,Reedsport,Unknown,43.706864,decimal degrees,-124.09842,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/10/79,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/10/79,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,1981,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1979-1153990,19790616-Pm,"Whale, sperm",OR,Lane,Florence,Unknown,43.974742,decimal degrees,-124.1216,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,6/16/79,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,6/16/79,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1979-1153786,19790918-Pm,"Whale, sperm",OR,Tillamook,Rockaway,Unknown,45.616377,decimal degrees,-123.945922,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,9/18/79,,Alive,Y,,Alive,Y,,,,,,,9/18/79,,,,Y,,,,,,,,,,,Y,,,Captured,FEMALE,UNKNOWN,395,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1169916,MMP-039,"Whale, minke",OR,Coos,Unknown,Unknown,43.341615,decimal degrees,-124.35988,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/1/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/1/80,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1154004,19800404-Er,"Whale, gray",OR,Lincoln,Newport,Unknown,44.634105,decimal degrees,-124.064629,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/4/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/4/80,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,760,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1154006,19800415-Er,"Whale, gray",OR,Tillamook,Netarts,Unknown,45.430646,decimal degrees,-123.94686,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/15/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/15/80,,,,,,,,,,,,,,,Y,,,,MALE,UNKNOWN,800,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1153176,OIMB-C-020,"Whale, gray",OR,Clatsop,Unknown,Unknown,46.056845,decimal degrees,-123.930085,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,7/24/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,7/24/80,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1153185,OIMB-C-020,"Whale, gray",OR,Clatsop,Unknown,Unknown,46.056845,decimal degrees,-123.930085,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,7/24/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,7/24/80,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1153905,OIMB-C-020,"Whale, gray",OR,Clatsop,Unknown,Unknown,46.035756,decimal degrees,-123.927853,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,7/24/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,7/24/80,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1154008,MMP-040,"Whale, minke",OR,Tillamook,Netarts,Unknown,45.430646,decimal degrees,-123.94686,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,7/27/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,7/27/80,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,770,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1980-1153906,OIMB-C-022,"Whale, gray",OR,Coos,Unknown,Unknown,43.121139,decimal degrees,-124.429089,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,9/19/80,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,9/19/80,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1981-1153907,OIMB-C-023,"Whale, gray",OR,Coos,Bandon,Unknown,43.121139,decimal degrees,-124.429089,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,1/10/81,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,1/10/81,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,700,cm,,,,,,,,,,,,,,,,,,,,,,,,
