"","Common.Name","Year","n"
"1","Blue","2010",3
"2","Blue","2016",1
"3","Blue","2017",1
"4","Blue","2018",1
"5","Blue","2019",1
"6","Fin","2010",1
"7","Fin","2011",1
"8","Fin","2012",3
"9","Fin","2013",3
"10","Fin","2014",1
"11","Fin","2015",2
"12","Fin","2017",2
"13","Fin","2018",4
"14","Gray","2010",4
"15","Gray","2011",2
"16","Gray","2013",1
"17","Gray","2014",1
"18","Gray","2015",2
"19","Gray","2016",2
"20","Gray","2017",2
"21","Gray","2018",7
"22","Gray","2019",9
"23","Humpback","2010",1
"24","Humpback","2011",1
"25","Humpback","2013",1
"26","Humpback","2014",2
"27","Humpback","2015",1
"28","Humpback","2016",5
"29","Humpback","2017",1
"30","Humpback","2018",3
"31","Humpback","2019",3
"32","Minke","2014",2
"33","Sei","2015",1
"34","Sei","2019",1
"35","Sperm","2012",1
"36","Unknown","2018",2
